Número do cadastro;Número da portaria;Nome do usuário de água;Natureza da intervenção;Tipo da Fonte de Captação;Tipo de Intervenção;Classificação;Status;Observação;Data de início do cadastro;Data de saída do processo;Vazão média;Vazão máxima;Unidade de medida da vazão;Volume normal armazenado (m³);Finalidades de Uso;Bacia Hidrográfica;Corpo Hídrico;Sistema Aquífero;Município;Nome da Geometria;Latitude;Longitude;Latitude (ponto final);Longitude (ponto final)
2019/013.368;A-002.660/2019;Darci Kisler;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;23/07/2019;23/07/2019;6;6;m³/dia;0;Consumo humano;Bacia Hidrográfica dos Rios Turvo - Santa Rosa - Santo Cristo;-;Serra Geral I;Santa Rosa;Poço Requerido 1;"-27,924312702323";"-54,6256327629089";-;-
2019/013.288;A-002.657/2019;VIANEI ANTONIO WOOS;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;23/07/2019;23/07/2019;1;1;m³/dia;0;"Lavagem coletiva de veículos, Sistema de combate à incêndios";Bacia Hidrográfica dos Rios Apuaê - Inhandava;-;Serra Geral I;Erechim;Poço Requerido 1;"-27,6133333333333";"-52,2241666666667";-;-
2019/013.224;A-002.656/2019;WENDLAND REIS & CIA LTDA;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;22/07/2019;22/07/2019;80;80;m³/dia;0;"Consumo humano, Irrigação";Bacia Hidrográfica do Rio Pardo;-;Santa Maria;Vera Cruz;Poço Requerido 1;"-29,7294444444444";"-52,4852777777778";-;-
2019/013.186;A-002.654/2019;Ronei Blos Pereira;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;22/07/2019;22/07/2019;"1,8";"1,8";m³/dia;0;Consumo humano;Bacia Hidrográfica dos Rios Apuaê - Inhandava;-;Serra Geral I;Severiano de Almeida;Poço Requerido 1;"-27,470315547678";"-52,0838856697083";-;-
2019/013.166;A-002.652/2019;Prefeitura Municipal de Casca-RS;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;22/07/2019;22/07/2019;54;54;m³/dia;0;Consumo humano;Bacia Hidrográfica do Rio Taquari-Antas;-;Serra Geral II;Casca;Poço Requerido 1;"-28,6408333333333";"-51,9891666666667";-;-
2019/013.153;A-002.651/2019;Companhia Riograndense de Saneamento;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;22/07/2019;22/07/2019;400;400;m³/dia;0;Abastecimento público;Bacia Hidrográfica do Rio Caí;-;Botucatu / Pirambóia;Feliz;Poço Requerido 1;"-29,4598895503436";"-51,3165163993835";-;-
2019/013.145;A-002.650/2019;Eco Concreteira Ltda;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;22/07/2019;22/07/2019;60;60;m³/dia;0;Processo industrial;Bacia Hidrográfica do Rio Pardo;-;Santa Maria;Vera Cruz;Poço Requerido 1;"-29,6927";"-52,5005";-;-
2019/012.998;A-002.653/2019;Altivo Fuhr;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;18/07/2019;22/07/2019;"0,18";"0,18";m³/dia;0;Consumo humano;Bacia Hidrográfica do Rio dos Sinos;-;Serra Geral II;Santa Maria do Herval;Poço Requerido 1;"-29,4385";"-50,8926";-;-
2019/012.985;A-002.644/2019;Vanderlei Biasibetti;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;18/07/2019;18/07/2019;16;16;m³/dia;0;"Consumo humano, Dessedentação animal";Bacia Hidrográfica do Rio Taquari-Antas;-;Serra Geral II;Arroio do Meio;Poço Requerido 1;"-29,3247222222222";"-51,9883333333333";-;-
2019/012.972;A-002.643/2019;UTRESA – UNIÃO DOS TRABALHADORES EM RESÍDUOS ESPECIAIS E SANEAMENTO AMBIENTAL;Água Subterrânea;Água subterrânea;Poço de monitoramento;Autorização Prévia;Concedida;-;18/07/2019;18/07/2019;-;-;-;0;Monitoramento qualitativo;Bacia Hidrográfica do Rio dos Sinos;-;Botucatu / Pirambóia;Estância Velha;Poço Requerido 1;"-29,6844";"-51,2144";-;-
