Número do cadastro;Número da portaria;Nome do usuário de água;Natureza da intervenção;Tipo da Fonte de Captação;Tipo de Intervenção;Classificação;Status;Observação;Data de início do cadastro;Data de saída do processo;Vazão média;Vazão máxima;Unidade de medida da vazão;Volume normal armazenado (m³);Finalidades de Uso;Bacia Hidrográfica;Corpo Hídrico;Sistema Aquífero;Município;Nome da Geometria;Latitude;Longitude;Latitude (ponto final);Longitude (ponto final)
2020/006.741;-;CONSTRUNÍVEL ENERGIAS RENOVÁVEIS LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Aguardando análise;-;01/05/2020;01/05/2020;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;Arroio da Glória;-;Pinhal da Serra;Ponto central do barramento;"-51,2448983019806";"-27,8099371429907";-;-
2020/006.277;-;Fernando Isoton;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Concluído;-;24/04/2020;27/04/2020;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Ibicuí;Rio Toropi-Mirim;-;Quevedos;Ponto 1;"-54,1755";"-29,3524";-;-
2020/005.099;O-000.870/2020;BT GERADORA DE ENERGIA ELETRICA S.A.;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Outorga;Concedida;-;27/03/2020;24/04/2020;-;-;-;3257500;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio da Várzea;Rio Guarita;-;Erval Seco;Ponto 1;"-53,5789";"-27,5612";-;-
2020/002.905;-;HDE 01 PARTICIPACOES SOCIETARIAS EIRELI;Água Superficial;Barragem de acumulação;Cadastro apenas da barragem;Cadastro;Concluído;-;20/02/2020;28/02/2020;-;-;-;15000;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;Arroio São Marcos;-;Caxias do Sul;Ponto 1;"-51,0080409049988";"-29,0231519320435";-;-
2020/002.866;-;LINHA ONZE OESTE ENERGIA LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Aguardando análise;-;19/02/2020;19/02/2020;-;-;-;"1141579,48";Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Ijuí;Rio Ijuí;-;Coronel Barros;Ponto 1;"-54,0045500199785";"-28,3511124417778";-;-
2020/002.683;-;Cooperativa de Geração de Energia e Desenvolvimento Social LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Aguardando formalização de documentos;-;17/02/2020;05/03/2020;-;-;-;79464;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Turvo - Santa Rosa - Santo Cristo;Rio Buricá;-;Chiapetta;Ponto 1;"-53,9701307613505";"-27,9612491935233";-;-
2020/001.754;-;BORTOLON AGROCOMERCIAL EIRELI;Água Superficial;Barragem de acumulação;Cadastro apenas da barragem;Cadastro;Em análise;-;31/01/2020;06/04/2020;-;-;-;"20588,4";Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;Rio Socorro;-;Vacaria;Ponto 1;"-50,8559701377817";"-28,2990821433521";-;-
2020/001.523;R-000.836/2020;ENERBIO SERVICOS DE ENGENHARIA LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Reserva de disponibilidade hídrica;Concedida;-;28/01/2020;09/04/2020;-;-;-;300000;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio da Várzea;Rio Fortaleza;-;Erval Seco;Ponto 1;"-53,5472";"-27,4186";-;-
2020/001.400;-;BARRA DOS CAIXÕES EMPREENDIMENTOS EM ENERGIA LTDA;Água Superficial;Barragem de acumulação;Cadastro apenas da barragem;Cadastro;Concluído;-;24/01/2020;24/01/2020;-;-;-;23720000;Aproveitamento hidrelétrico;Bacia Hidrográfica do Alto Jacuí;Rio Jacuizinho;-;Arroio do Tigre;Ponto 1;"-53,0740928649902";"-29,1970141088696";-;-
2020/001.393;-;LAGOÃO EMPREENDIMENTOS EM ENERGIA LTDA;Água Superficial;Barragem de acumulação;Cadastro apenas da barragem;Cadastro;Concluído;-;24/01/2020;24/01/2020;-;-;-;4830000;Aproveitamento hidrelétrico;Bacia Hidrográfica do Alto Jacuí;Rio Jacuizinho;-;Arroio do Tigre;Ponto 1;"-53,0951642990112";"-29,2077653808761";-;-
