ahe,nome,usuario,numero,emissao
CGH,Sperotto,Hidroelétrica Sperotto Queda do Turvo Ltda,não conforme, 
CGH,Mirim,CONQUISTA GERAÇÃO DE ENERGIA ELÉTRICA LTDA,não conforme, 
CGH,Ligeiro,ENERGÉTICA RIO LIGEIRO LTDA,não conforme, 
CGH,Pedra Branca,JCS Engenharia Consultoria e Participações EIRELLI - EPP,não conforme, 
CGH,Focchezan,Focchezan Energia Ltda,não conforme, 
CGH,das Cabras,CABRAS GERADORA DE ENERGIA ELÉTRICA LTDA,não conforme, 
CGH,Formigueiro,SCHIRMER & CORREA CONSULTORIA FLORESTAL LTDA,não conforme, 
PCH,Cerquinha II,CERQUINHA II ENERGÉTICA S.A.,não conforme, 
CGH,Crissiumal,M. H.N GERACAO ELETRICA LTDA,não conforme, 
PCH,Touros IV,TOUROS IV ENERGÉTICA S.A.,não conforme, 
CGH,Despraiado,X-6 Geração de Energia Eireli,não conforme, 
CGH,Lorenz,LORENZ & FILHOS LTDA - EPP,não conforme, 
CGH,Bruna,RIO DO FRADE GERAÇÃO DE ENERGIA LTDA,não conforme, 
CGH,Santa Rita,ALS GERAÇÃO DE ENERGIA SPE LTDA,não conforme, 
CGH,Buricá,COOPERATIVA DE DESENVOLVIMENTO SOCIAL ENTRE RIOS LTDA.,conforme,não conforme
CGH,Três Marias,BORTOLON AGROCOMERCIAL EIRELI,não conforme, 
PCH,Ferradura,BT GERADORA DE ENERGIA ELETRICA S.A.,conforme,não conforme
PCH,Cotovelo do Jacuí,COPREL Cooperativa de Geração de Energia e Desenvolvimento,conforme,não conforme
PCH,Sede II,IJUI CENTENARIA GERACAO SPE LTDA,não conforme, 
CGH,Igrejinha,BOA VISTA DO CADEADO ENERGIA LTDA.,não conforme, 
CGH,CAA-YARI,J. H. M. Geração de Energia LTDA,não conforme, 
CGH,Ramada,HIDROPAN - Hidroelétrica Panambi S/A,não conforme, 
CGH,Pirapó,Rio Grande Energia S/A,não conforme, 
CGH,Andorinhas,Rio Grande Energia S/A,não conforme, 
CGH,Ivaí,Companhia Estadual de Geração e Transmissão de Energia Elétrica - CEEE GT,não conforme, 
CGH,Taipinha,Cooperativa de Energia e D. Rurais Fontoura Xavier,não conforme, 
CGH,Comandaí/Claudino Fernando Picolli,Cooperativa de Distribuição e Geração de Energia das Missões-CERMISSÕES,não conforme, 
CGH,Usina do Posto,Cooperativa de Energia e Desenv. Rural Coprel LTDA,não conforme, 
CGH,RP I,R. P. Administração e Participação Ltda,não conforme, 
